ID;Reference_paper_number;Country;State;Municipality;Study_location;Latitude;Longitude;Precision;Size_ha;Temperature;Altitude;Annual_rainfall;Vegetation_type;Protect_area;Matrix;Reference;Publication_year;Type_of_publication;Month_start;Year_start;Month_finish;Year_finish;Total_of_months;Sampling_habitat;Effort;Effort_method;Method;Order;Genus_on_paper;Species_name_on_paper;Actual_species_Name;Number_of_record;Density(groups/km2);Density(ind/km2);Density(ind/km10);Abundance(%);Abudance_relative;Abundance(10/km);Voucher_Specimens
AML145;98;Brazil;bahia;Gongogi;Atlantic Forest Fragment;-142194;-396466;precise;NA;NA;NA;NA;Ombrophilous Forest;no;Agriculture, Pasture;Fernandes-Ferreira, H. (2018). Unpublished data.;2018;Unpublished data;October;2013;October;2013;1;Interior;22.4;kilometers;line_transect;Rodentia;Cuniculus;Cuniculus paca;Cuniculus paca;1;NA;NA;NA;NA;NA;NA;NA
AML145;98;Brazil;bahia;Gongogi;Atlantic Forest Fragment;-142194;-396466;precise;NA;NA;NA;NA;Ombrophilous Forest;no;Agriculture, Pasture;Fernandes-Ferreira, H. (2018). Unpublished data.;2018;Unpublished data;October;2013;October;2013;1;Interior;22.4;kilometers;line_transect;Carnivora;Cerdocyon;Cerdocyon thous;Cerdocyon thous;1;NA;NA;NA;NA;NA;NA;NA
AML145;98;Brazil;bahia;Gongogi;Atlantic Forest Fragment;-142332;-396893;precise;NA;NA;NA;NA;Ombrophilous Forest;no;Agriculture, Pasture;Fernandes-Ferreira, H. (2018). Unpublished data.;2018;Unpublished data;October;2013;October;2013;1;Interior;22.4;kilometers;line_transect;Cingulata;Euphractus;Euphractus sexcinctus;Euphractus sexcinctus;1;NA;NA;NA;NA;NA;NA;NA
AML145;98;Brazil;bahia;Gongogi;Atlantic Forest Fragment;-142332;-396893;precise;NA;NA;NA;NA;Ombrophilous Forest;no;Agriculture, Pasture;Fernandes-Ferreira, H. (2018). Unpublished data.;2018;Unpublished data;October;2013;October;2013;1;Interior;22.4;kilometers;line_transect;Primates;Callicebus;Callicebus melanochir;Callicebus melanochir;1;NA;NA;NA;NA;NA;NA;NA
AML145;98;Brazil;bahia;Gongogi;Atlantic Forest Fragment;-142194;-396466;precise;NA;NA;NA;NA;Ombrophilous Forest;no;Agriculture, Pasture;Fernandes-Ferreira, H. (2018). Unpublished data.;2018;Unpublished data;October;2013;October;2013;1;Interior;40;camera_days;cam_trap;Carnivora;Leopardus;Leopardus sp.;Leopardus sp.;1;NA;NA;NA;NA;NA;NA;NA
AML145;98;Brazil;bahia;Gongogi;Atlantic Forest Fragment;-142194;-396466;precise;NA;NA;NA;NA;Ombrophilous Forest;no;Agriculture, Pasture;Fernandes-Ferreira, H. (2018). Unpublished data.;2018;Unpublished data;October;2013;October;2013;1;Interior;40;camera_days;cam_trap;Carnivora;Canis;Canis familiaris;Canis familiaris;2;NA;NA;NA;NA;NA;NA;NA
AML146;98;Brazil;bahia;Itagiba;Atlantic Forest Fragment;-14224;-396977;precise;NA;NA;NA;NA;Ombrophilous Forest;no;Agriculture, Pasture;Fernandes-Ferreira, H. (2018). Unpublished data.;2018;Unpublished data;October;2013;October;2013;1;Interior;22.4;kilometers;line_transect;Cingulata;Dasypus;Dasypus novemcinctus;Dasypus novemcinctus;1;NA;NA;NA;NA;NA;NA;NA
AML146;98;Brazil;bahia;Itagiba;Atlantic Forest Fragment;-14224;-396977;precise;NA;NA;NA;NA;Ombrophilous Forest;no;Agriculture, Pasture;Fernandes-Ferreira, H. (2018). Unpublished data.;2018;Unpublished data;October;2013;October;2013;1;Interior;22.4;kilometers;line_transect;Rodentia;Cuniculus;Cuniculus paca;Cuniculus paca;2;NA;NA;NA;NA;NA;NA;NA
AML146;98;Brazil;bahia;Itagiba;Atlantic Forest Fragment;-14224;-396977;precise;NA;NA;NA;NA;Ombrophilous Forest;no;Agriculture, Pasture;Fernandes-Ferreira, H. (2018). Unpublished data.;2018;Unpublished data;October;2013;October;2013;1;Interior;22.4;kilometers;line_transect;Carnivora;Eira;Eira barbara;Eira barbara;1;NA;NA;NA;NA;NA;NA;NA
AML146;98;Brazil;bahia;Itagiba;Atlantic Forest Fragment;-14224;-396977;precise;NA;NA;NA;NA;Ombrophilous Forest;no;Agriculture, Pasture;Fernandes-Ferreira, H. (2018). Unpublished data.;2018;Unpublished data;October;2013;October;2013;1;Interior;22.4;kilometers;line_transect;Rodentia;Dasyprocta;Dasyprocta sp.;Dasyprocta sp.;2;NA;NA;NA;NA;NA;NA;NA
